Center ID,Center Name,State,Zone ID,Zone Name,NAC Zone ID,NWS Forecast Zone,NWS Zone Description,NWS WFO,AVG WFOs,Mountain-Specific NWS Zone,Num Stations,Station STIDs
CNFAIC,Chugach National Forest Avalanche Info Center,AK,turnagain-girdwood,Turnagain Pass / Girdwood,2815,AKZ727,Turnagain Pass,AFC,AFC,Yes,3,SNBA2; SERA2; TUGA2
CNFAIC,Chugach National Forest Avalanche Info Center,AK,summit,Summit Lake,2816,AKZ725,Southern Kenai Mtns,AFC,AFC,Yes,3,SUUA2; TUGA2; TNCA2
CNFAIC,Chugach National Forest Avalanche Info Center,AK,seward,Seward / Lost Lake,2817,AKZ725,Southern Kenai Mtns,AFC,AFC,Yes,2,EXGA2; PEDA2
CNFAIC,Chugach National Forest Avalanche Info Center,AK,chugach-state-park,Chugach State Park,2818,AKZ702,Anchorage Hillside / Eagle River,AFC,AFC,No - city/borough zone,3,HILA2; MORA2; AYSA2
HPAC,Hatcher Pass Avalanche Center,AK,hatcher-pass,Hatcher Pass,2152,AKZ712,Hatcher Pass,AFC,AFC,Yes,2,HATA2; FBBA2
VAC,Valdez Avalanche Center,AK,valdez-maritime,Valdez - Maritime,1609,AKZ731,Valdez,AFC,AFC,No - city zone,3,NVSA2; UPPA2; RSCA2
VAC,Valdez Avalanche Center,AK,valdez-intermountain,Valdez - Intermountain,1610,AKZ732,Thompson Pass,AFC,AFC,Yes,3,NVSA2; UPPA2; RSCA2
VAC,Valdez Avalanche Center,AK,valdez-continental,Valdez - Continental,1611,AKZ732,Thompson Pass,AFC,AFC,Yes,3,NVSA2; UPPA2; RSCA2
EARAC,Eastern Alaska Range Avalanche Center,AK,earac-north,Eastern AK Range - North (Castner-Canwell),3002,AKZ850,Eastern AK Range South of Trims Camp,AFG,AFG,Yes,3,AGW01; LESA2; FLDA2
EARAC,Eastern Alaska Range Avalanche Center,AK,earac-south,Eastern AK Range - South (Summit),3003,AKZ850,Eastern AK Range South of Trims Camp,AFG,AFG,Yes,3,AGW01; LESA2; FLDA2
CAAC,Coastal Alaska Avalanche Center,AK,douglas-island,Douglas Island,2165,AKZ325,City and Borough of Juneau,AJK,AJK,No - city/borough zone,3,PPSA2; DCSA2; JTMA2
CAAC,Coastal Alaska Avalanche Center,AK,juneau-mainland,Juneau Mainland,2164,AKZ325,City and Borough of Juneau,AJK,AJK,No - city/borough zone,3,PPSA2; DCSA2; JTMA2
HAC,Haines Avalanche Center,AK,haines-lutak,Haines - Lutak,3005,AKZ319,Haines Borough and Klukwan,AJK,AJK,No - borough zone,3,TKHA2; RRWA2; FLOA2
HAC,Haines Avalanche Center,AK,haines-transitional,Haines - Transitional,3006,AKZ319,Haines Borough and Klukwan,AJK,AJK,No - borough zone,3,TKHA2; RRWA2; FLOA2
